"<DATE>","<OPEN>","<HIGH>","<LOW>","<CLOSE>","<VOL>"
"9/9/2020","0.03483","0.03506","0.03471","0.03503","14797560000"
"9/10/2020","0.035055","0.035485","0.034615","0.03515","24676470000"
"9/11/2020","0.03521","0.03544","0.03509","0.03542","13255600000"
"9/14/2020","0.03553","0.035875","0.03548","0.0358","24414530000"
"9/15/2020","0.03583","0.03625","0.035635","0.036185","24912970000"
"9/16/2020","0.03624","0.036345","0.035685","0.035795","22050460000"
"9/17/2020","0.035605","0.03577","0.035345","0.035705","24378170000"
"9/18/2020","0.03575","0.0358","0.035255","0.03549","22372140000"
"9/21/2020","0.035465","0.03547","0.03455","0.034855","27039890000"
"9/22/2020","0.034825","0.035115","0.0343","0.034635","51067600000"
"9/23/2020","0.03459","0.034875","0.0343","0.034355","27346910000"
"9/24/2020","0.034145","0.0346","0.03402","0.034275","35364380000"
"9/25/2020","0.03434","0.03439","0.03391","0.034225","18748240000"
"9/28/2020","0.034255","0.03459","0.03417","0.034495","18365230000"
"9/29/2020","0.0345","0.03488","0.03363","0.03458","33606700000"
"9/30/2020","0.03454","0.03475","0.03427","0.034475","19435580000"
"10/1/2020","0.03465","0.034705","0.03415","0.03425","13994440000"
"10/2/2020","0.03373","0.0339","0.03351","0.033835","19545140000"
"10/5/2020","0.03395","0.03398","0.0336","0.03375","14764670000"
"10/6/2020","0.03375","0.034065","0.033695","0.03379","14206270000"
"10/7/2020","0.03385","0.03395","0.03319","0.033405","23749350000"
"10/8/2020","0.03342","0.033505","0.033055","0.033395","18554520000"
"10/9/2020","0.03344","0.03344","0.033005","0.033205","13948730000"
"10/12/2020","0.033195","0.03354","0.033115","0.03323","13349810000"
"10/13/2020","0.033205","0.03338","0.032915","0.03304","12146830000"
"10/14/2020","0.03298","0.033295","0.032805","0.033225","12806890000"
"10/15/2020","0.03312","0.033185","0.032405","0.032655","25031080000"
"10/16/2020","0.0326","0.032675","0.032005","0.03202","19948320000"
"10/19/2020","0.032105","0.032295","0.031625","0.031725","21268050000"
"10/20/2020","0.0318","0.03398","0.0315","0.03389","107508630000"
"10/21/2020","0.033965","0.03467","0.033325","0.0336","91847350000"
"10/22/2020","0.0334","0.03478","0.03325","0.03464","65627820000"
"10/23/2020","0.03463","0.035145","0.03427","0.034785","39211250000"
"10/26/2020","0.03472","0.03473","0.033885","0.034115","26624350000"
"10/27/2020","0.03417","0.034425","0.0334","0.033435","23793630000"
"10/28/2020","0.03343","0.03343","0.0322","0.032225","35776670000"
"10/29/2020","0.03235","0.0331","0.03205","0.03276","39260930000"
"10/30/2020","0.032475","0.03322","0.03222","0.032665","30310020000"
"11/2/2020","0.0326","0.032915","0.0321","0.032865","24596250000"
"11/3/2020","0.03301","0.033295","0.032705","0.032955","34412940000"
"11/5/2020","0.03342","0.03379","0.033155","0.033645","40262890000"
"11/6/2020","0.03357","0.033725","0.0332","0.033605","23477290000"
"11/9/2020","0.03386","0.03462","0.033625","0.03439","65162810000"
"11/10/2020","0.03437","0.034835","0.034165","0.03464","36257160000"
"11/11/2020","0.034735","0.03522","0.03412","0.03414","59186900000"
"11/12/2020","0.033985","0.036605","0.03385","0.035935","108471370000"
"11/13/2020","0.03593","0.03705","0.035745","0.0366","107161570000"
"11/16/2020","0.03693","0.0373","0.036605","0.0372","87059410000"
"11/17/2020","0.037185","0.037245","0.0359","0.0362","67083450000"
"11/18/2020","0.03609","0.03668","0.035435","0.03605","42872820000"
"11/19/2020","0.03605","0.036265","0.03569","0.0361","27220440000"
"11/20/2020","0.036095","0.036845","0.03605","0.036545","34481540000"
"11/23/2020","0.03668","0.037","0.036255","0.03653","31711890000"
"11/24/2020","0.036625","0.036995","0.036435","0.036935","31542090000"
"11/25/2020","0.03694","0.03715","0.036445","0.03682","51512280000"
